| File: ./data/datasetLR1.txt |
| DP | X | SUM_X | SUM_X_SQUARED | Y | SUM_Y | X * Y | SUM_XY |
| 1 | 60 | 60.000000 | 3600.000000 | 229 | 229.000000 | 13740.000000 |
| 2 | 15 | 75.000000 | 3825.000000 | 221 | 450.000000 | 17055.000000 |
| 3 | 62 | 137.000000 | 7669.000000 | 59 | 509.000000 | 20713.000000 |
| 4 | 96 | 233.000000 | 16885.000000 | 120 | 629.000000 | 32233.000000 |
| 5 | 16 | 249.000000 | 17141.000000 | 97 | 726.000000 | 33785.000000 |
| 6 | 41 | 290.000000 | 18822.000000 | 290 | 1016.000000 | 45675.000000 |
| 7 | 52 | 342.000000 | 21526.000000 | 206 | 1222.000000 | 56387.000000 |
| 8 | 78 | 420.000000 | 27610.000000 | 220 | 1442.000000 | 73547.000000 |
| 9 | 29 | 449.000000 | 28451.000000 | 176 | 1618.000000 | 78651.000000 |
| 10 | 25 | 474.000000 | 29076.000000 | 138 | 1756.000000 | 82101.000000 |
| 11 | 57 | 531.000000 | 32325.000000 | 252 | 2008.000000 | 96465.000000 |
| 12 | 63 | 594.000000 | 36294.000000 | 204 | 2212.000000 | 109317.000000 |
| 13 | 94 | 688.000000 | 45130.000000 | 130 | 2342.000000 | 121537.000000 |
| 14 | 55 | 743.000000 | 48155.000000 | 109 | 2451.000000 | 127532.000000 |
| 15 | 98 | 841.000000 | 57759.000000 | 255 | 2706.000000 | 152522.000000 |
| 16 | 8 | 849.000000 | 57823.000000 | 294 | 3000.000000 | 154874.000000 |
| 17 | 69 | 918.000000 | 62584.000000 | 68 | 3068.000000 | 159566.000000 |
| 18 | 76 | 994.000000 | 68360.000000 | 242 | 3310.000000 | 177958.000000 |
| 19 | 3 | 997.000000 | 68369.000000 | 202 | 3512.000000 | 178564.000000 |
| 20 | 64 | 1061.000000 | 72465.000000 | 247 | 3759.000000 | 194372.000000 |
| 21 | 31 | 1092.000000 | 73426.000000 | 157 | 3916.000000 | 199239.000000 |
| 22 | 62 | 1154.000000 | 77270.000000 | 293 | 4209.000000 | 217405.000000 |
| 23 | 28 | 1182.000000 | 78054.000000 | 225 | 4434.000000 | 223705.000000 |
| 24 | 65 | 1247.000000 | 82279.000000 | 102 | 4536.000000 | 230335.000000 |
| 25 | 58 | 1305.000000 | 85643.000000 | 183 | 4719.000000 | 240949.000000 |
| 26 | 1 | 1306.000000 | 85644.000000 | 273 | 4992.000000 | 241222.000000 |
| 27 | 36 | 1342.000000 | 86940.000000 | 81 | 5073.000000 | 244138.000000 |
| 28 | 90 | 1432.000000 | 95040.000000 | 63 | 5136.000000 | 249808.000000 |
| 29 | 97 | 1529.000000 | 104449.000000 | 180 | 5316.000000 | 267268.000000 |
| 30 | 41 | 1570.000000 | 106130.000000 | 179 | 5495.000000 | 274607.000000 |
| 31 | 15 | 1585.000000 | 106355.000000 | 223 | 5718.000000 | 277952.000000 |
| 32 | 43 | 1628.000000 | 108204.000000 | 103 | 5821.000000 | 282381.000000 |
| 33 | 91 | 1719.000000 | 116485.000000 | 103 | 5924.000000 | 291754.000000 |
| 34 | 9 | 1728.000000 | 116566.000000 | 219 | 6143.000000 | 293725.000000 |
| 35 | 87 | 1815.000000 | 124135.000000 | 300 | 6443.000000 | 319825.000000 |
| 36 | 96 | 1911.000000 | 133351.000000 | 127 | 6570.000000 | 332017.000000 |
| 37 | 27 | 1938.000000 | 134080.000000 | 210 | 6780.000000 | 337687.000000 |
| 38 | 18 | 1956.000000 | 134404.000000 | 258 | 7038.000000 | 342331.000000 |
| 39 | 94 | 2050.000000 | 143240.000000 | 98 | 7136.000000 | 351543.000000 |
| 40 | 24 | 2074.000000 | 143816.000000 | 225 | 7361.000000 | 356943.000000 |
| 41 | 75 | 2149.000000 | 149441.000000 | 291 | 7652.000000 | 378768.000000 |
| 42 | 47 | 2196.000000 | 151650.000000 | 212 | 7864.000000 | 388732.000000 |
| 43 | 58 | 2254.000000 | 155014.000000 | 226 | 8090.000000 | 401840.000000 |
